keyword,c1,c2,c3,c4,c5,c6,c7,c8,cluster_product_name,item_count,min_price,median_price,average_price,max_price,sample_tokenized_names,sample_normalized_names,sample_original_names
갤럭시,갤럭시노트20,미스틱브론즈,,,,,,,갤럭시노트20 미스틱브론즈,72,155000,155000.0,155000.0,155000,갤럭시노트20 미스틱브론즈,갤럭시노트20미스틱브론즈,갤럭시노트20미스틱브론즈(7590)
갤럭시,갤럭시와이드8,민트,s급,무,잔상,,,,갤럭시와이드8 민트 s급 무 잔상,68,165000,165000.0,165000.0,165000,갤럭시와이드8 민트 s급 무 잔상,갤럭시와이드8민트s급 무잔상,"갤럭시와이드8민트S급,무잔상(8250)"
갤럭시,갤럭시s2,4,25,6,,,,,갤럭시s2 4 25 6,34,385000,435000.0,439735.29411764705,462000,갤럭시s2 4 25 6,갤럭시s24 256,(3701)갤럭시s24 256 판매합니다 | 갤럭시s24 256 판매합니다 | 갤럭시S24 256 판매해요
갤럭시,갤럭시,엘지,벨벳,화이트,정상,공기기,폰,,갤럭시 엘지 벨벳 화이트 정상 공기기 폰,25,100000,100000.0,100000.0,100000,갤럭시 엘지 벨벳 화이트 정상 공기기 폰,갤럭시 엘지벨벳 화이트 정상공기기 폰,갤럭시 엘지벨벳 화이트 정상공기기 중고폰
갤럭시,갤럭시a16라이트그린,s급,무,잔상,,,,,갤럭시a16라이트그린 s급 무 잔상,24,163000,163000.0,163000.0,163000,갤럭시a16라이트그린 s급 무 잔상,갤럭시a16라이트그린s급 무잔상,"갤럭시A16라이트그린S급,무잔상(4671)"
갤럭시,갤럭시,퀀텀4,블랙,s급,무,잔상,정상,공기기,갤럭시 퀀텀4 블랙 s급 무 잔상 정상 공기기,24,200000,200000.0,200000.0,200000,갤럭시 퀀텀4 블랙 s급 무 잔상 정상 공기기 폰,갤럭시 퀀텀4블랙 s급 무잔상 정상공기기 폰,갤럭시 퀀텀4블랙 S급 무잔상 정상공기기 중고폰
갤럭시,갤럭시s2,5,25,6,,,,,갤럭시s2 5 25 6,24,620000,679000.0,661541.6666666666,679000,갤럭시s2 5 25 6,갤럭시s25 256,갤럭시s25 256 판매합니다 | (5328)갤럭시s25 256 판매합니다 | (5451)갤럭시s25 256 판매합니다
갤럭시,갤럭시,s22,화이트,무,잔상,정상,공기기,폰,갤럭시 s22 화이트 무 잔상 정상 공기기 폰,22,160000,172500.0,172500.0,185000,갤럭시 s22 화이트 무 잔상 정상 공기기 폰,갤럭시 s22화이트 무잔상 정상공기기 폰,갤럭시 S22화이트 무잔상 정상공기기 중고폰
갤럭시,갤럭시,와이드,8,블랙,무,잔상,정상,공기기,갤럭시 와이드 8 블랙 무 잔상 정상 공기기,20,160000,170000.0,165500.0,170000,갤럭시 와이드 8 블랙 무 잔상 정상 공기기 폰,갤럭시 와이드8 블랙 무잔상 정상공기기 폰,갤럭시 와이드8 블랙 무잔상 정상공기기 중고폰
갤럭시,갤럭시s23,플러스,25,6,,,,,갤럭시s23 플러스 25 6,19,358000,379000.0,381631.5789473684,408000,갤럭시s23 플러스 25 6,갤럭시s23플러스 256,갤럭시s23플러스 256 판매합니다 | (3525)갤럭시s23플러스 256 판매합니다 | (312)갤럭시s23플러스 256 판매합니다
갤럭시,갤럭시,노트20,브론즈,정상,공기기,폰,,,갤럭시 노트20 브론즈 정상 공기기 폰,17,160000,160000.0,161764.70588235295,165000,갤럭시 노트20 브론즈 정상 공기기 폰,갤럭시 노트20브론즈 정상공기기 폰,갤럭시 노트20브론즈 정상공기기 중고폰
갤럭시,갤럭시s2,1,무,잔상,퍼플,,,,갤럭시s2 1 무 잔상 퍼플,17,160000,180000.0,177647.0588235294,200000,갤럭시s2 1 무 잔상 퍼플,갤럭시s21 무잔상 퍼플,갤럭시S21 256G 무잔상 퍼플 60748 | 갤럭시S21 256G 무잔상 퍼플 01808 | 갤럭시S21 256G 무잔상 퍼플 60529 | 갤럭시S21 256G 무잔상 퍼플 12023
갤럭시,갤럭시s2,2,25,6,,,,,갤럭시s2 2 25 6,17,240000,252000.0,251352.9411764706,262000,갤럭시s2 2 25 6,갤럭시s22 256,갤럭시s22 256 판매합니다 | (214)갤럭시s22 256 판매합니다 | (227)갤럭시s22 256 판매합니다 | (207)갤럭시s22 256 판매합니다
갤럭시,갤럭시,스타일,폴더,블랙,a급,정상,공기기,폰,갤럭시 스타일 폴더 블랙 a급 정상 공기기 폰,15,65000,65000.0,65000.0,65000,갤럭시 스타일 폴더 블랙 a급 정상 공기기 폰,갤럭시 스타일폴더 블랙 a급 정상공기기 폰,갤럭시 스타일폴더 블랙 A급 정상공기기 중고폰
갤럭시,갤럭시,스타일폴더,2,블랙,a급,무,잔상,정상,갤럭시 스타일폴더 2 블랙 a급 무 잔상 정상,15,140000,140000.0,140000.0,140000,갤럭시 스타일폴더 2 블랙 a급 무 잔상 정상 공기기 폰,갤럭시 스타일폴더2 블랙 a급 무잔상 정상공기기 폰,갤럭시 스타일폴더2 블랙 A급 무잔상 정상공기기 중고폰
갤럭시,당일발송,급,갤럭시s23,fe,민트,정상해,지,,당일발송 급 갤럭시s23 fe 민트 정상해 지,15,360000,360000.0,360000.0,360000,당일발송 급 갤럭시s23 fe 민트 정상해 지,당일발송 급 갤럭시s23fe 민트 정상해지,[01434] 당일발송 새상품급 갤럭시S23FE 256GB 민트 정상해지 | [01444] 당일발송 새상품급 갤럭시S23FE 256GB 민트 정상해지
갤럭시,갤럭시,q9,레드,s급,무,잔상,정상,공기기,갤럭시 q9 레드 s급 무 잔상 정상 공기기,14,65000,65000.0,65000.0,65000,갤럭시 q9 레드 s급 무 잔상 정상 공기기 폰,갤럭시 q9레드 s급 무잔상 정상공기기 폰,갤럭시 Q9레드 S급 무잔상 정상공기기 중고폰
갤럭시,갤럭시,스타일폴더,블랙,무,잔상,정상,공기계,폰,갤럭시 스타일폴더 블랙 무 잔상 정상 공기계 폰,14,65000,65000.0,65000.0,65000,갤럭시 스타일폴더 블랙 무 잔상 정상 공기계 폰,갤럭시 스타일폴더블랙 무잔상 정상공기계 폰,갤럭시 스타일폴더블랙 무잔상 정상공기계 중고폰
갤럭시,갤럭시,버디4,골드,a급,무,잔상,정상,공기기,갤럭시 버디4 골드 a급 무 잔상 정상 공기기,14,160000,160000.0,160000.0,160000,갤럭시 버디4 골드 a급 무 잔상 정상 공기기 폰,갤럭시 버디4골드 a급 무잔상 정상공기기 폰,갤럭시 버디4골드 A급 무잔상 정상공기기 중고폰
갤럭시,리퍼,급,갤럭시s23,fe,급,공기,계,폰,리퍼 급 갤럭시s23 fe 급 공기 계 폰,14,330000,330000.0,330000.0,330000,리퍼 급 갤럭시s23 fe 급 공기 계 폰,리퍼급 갤럭시s23fe 급 공기계 폰,리퍼급 갤럭시s23FE 256GB 새상품급 공기계 중고폰
갤럭시,갤럭시s2,3,25,6,,,,,갤럭시s2 3 25 6,14,330000,345000.0,344285.71428571426,362000,갤럭시s2 3 25 6,갤럭시s23 256,갤럭시s23 256 판매합니다 | (2646)갤럭시s23 256 판매합니다 | (294)갤럭시s23 256 판매합니다
갤럭시,갤럭시,와이드,2,블랙,정상,공기기,폰,,갤럭시 와이드 2 블랙 정상 공기기 폰,13,40000,40000.0,40000.0,40000,갤럭시 와이드 2 블랙 정상 공기기 폰,갤럭시 와이드2 블랙 정상공기기 폰,갤럭시 와이드2 블랙  정상공기기 중고폰
갤럭시,갤럭시,노트,9,코퍼,정상,공기기,폰,,갤럭시 노트 9 코퍼 정상 공기기 폰,13,75000,75000.0,75000.0,75000,갤럭시 노트 9 코퍼 정상 공기기 폰,갤럭시 노트9 코퍼 정상공기기 폰,갤럭시 노트9 코퍼 정상공기기 중고폰
갤럭시,갤럭시,s8,오키드그레이,a급,무,잔상,정상,공기기,갤럭시 s8 오키드그레이 a급 무 잔상 정상 공기기,13,95000,95000.0,95000.0,95000,갤럭시 s8 오키드그레이 a급 무 잔상 정상 공기기 폰,갤럭시 s8오키드그레이 a급 무잔상 정상공기기 폰,갤럭시 S8오키드그레이 A급 무잔상 정상공기기 중고폰
갤럭시,갤럭시,s9,블루,a급,무,잔상,정상,공기기,갤럭시 s9 블루 a급 무 잔상 정상 공기기,13,105000,105000.0,105000.0,105000,갤럭시 s9 블루 a급 무 잔상 정상 공기기 폰,갤럭시 s9블루 a급 무잔상 정상공기기 폰,갤럭시 S9블루 A급 무잔상 정상공기기 중고폰
갤럭시,갤럭시,노트,8,그레이,a급,무,잔상,정상,갤럭시 노트 8 그레이 a급 무 잔상 정상,13,110000,110000.0,110000.0,110000,갤럭시 노트 8 그레이 a급 무 잔상 정상 공기기 폰,갤럭시 노트8 그레이 a급 무잔상 정상공기기 폰,갤럭시 노트8 그레이 A급 무잔상 정상공기기 중고폰
갤럭시,갤럭시,버디,3,화이트,정상,공기기,폰,,갤럭시 버디 3 화이트 정상 공기기 폰,13,130000,130000.0,130000.0,130000,갤럭시 버디 3 화이트 정상 공기기 폰,갤럭시 버디3 화이트 정상공기기 폰,갤럭시 버디3 화이트 정상공기기 중고폰
갤럭시,갤럭시,s20,fe,라벤더,정상,공기기,폰,,갤럭시 s20 fe 라벤더 정상 공기기 폰,13,140000,140000.0,140000.0,140000,갤럭시 s20 fe 라벤더 정상 공기기 폰,갤럭시 s20fe 라벤더 정상공기기 폰,갤럭시 S20FE 라벤더 정상공기기 중고폰
갤럭시,갤럭시,노트10,실버,무,잔상,정상,공기기,폰,갤럭시 노트10 실버 무 잔상 정상 공기기 폰,13,165000,165000.0,165000.0,165000,갤럭시 노트10 실버 무 잔상 정상 공기기 폰,갤럭시 노트10실버 무잔상 정상공기기 폰,갤럭시 노트10실버 무잔상 정상공기기 중고폰
갤럭시,갤럭시,퀀텀4,블랙,s급,정상,공기기,폰,,갤럭시 퀀텀4 블랙 s급 정상 공기기 폰,13,200000,200000.0,200000.0,200000,갤럭시 퀀텀4 블랙 s급 정상 공기기 폰,갤럭시 퀀텀4 블랙 s급 정상공기기 폰,갤럭시 퀀텀4 블랙 S급 정상공기기 중고폰
갤럭시,갤럭시,온7,골드,정상,공기기,폰,,,갤럭시 온7 골드 정상 공기기 폰,12,45000,45000.0,45000.0,45000,갤럭시 온7 골드 정상 공기기 폰,갤럭시 온7골드 정상공기기 폰,갤럭시 온7골드 정상공기기 중고폰
갤럭시,갤럭시,엘지,q7,30,블랙,무,잔상,정상,갤럭시 엘지 q7 30 블랙 무 잔상 정상,12,55000,55000.0,55000.0,55000,갤럭시 엘지 q7 30 블랙 무 잔상 정상 공기기 폰,갤럭시 엘지q730블랙 무잔상 정상공기기 폰,갤럭시 엘지Q730블랙 무잔상 정상공기기 중고폰
갤럭시,갤럭시,스타일,폴더,화이트,무,잔상,정상,공기기,갤럭시 스타일 폴더 화이트 무 잔상 정상 공기기,12,65000,65000.0,65000.0,65000,갤럭시 스타일 폴더 화이트 무 잔상 정상 공기기 폰,갤럭시 스타일폴더 화이트 무잔상 정상공기기 폰,갤럭시 스타일폴더 화이트 무잔상 정상공기기 중고폰
갤럭시,갤럭시,와이드,4,그레이,정상,공기기,폰,,갤럭시 와이드 4 그레이 정상 공기기 폰,12,65000,65000.0,65000.0,65000,갤럭시 와이드 4 그레이 정상 공기기 폰,갤럭시 와이드4 그레이 정상공기기 폰,갤럭시 와이드4 그레이 정상공기기 중고폰
갤럭시,갤럭시,a12,블랙,무,잔상,a급,정상,공기기,갤럭시 a12 블랙 무 잔상 a급 정상 공기기,12,85000,85000.0,85000.0,85000,갤럭시 a12 블랙 무 잔상 a급 정상 공기기 폰,갤럭시 a12블랙 무잔상 a급 정상공기기 폰,갤럭시 A12블랙 무잔상 A급 정상공기기 중고폰
갤럭시,갤럭시,마이브,포켓몬3,화이트,무,잔상,정상,공기기,갤럭시 마이브 포켓몬3 화이트 무 잔상 정상 공기기,12,85000,85000.0,85000.0,85000,갤럭시 마이브 포켓몬3 화이트 무 잔상 정상 공기기 폰,갤럭시 마이브 포켓몬3 화이트 무잔상 정상공기기 폰,갤럭시 마이브 포켓몬3 화이트 무잔상 정상공기기 중고폰
갤럭시,갤럭시노트9,메탈릭코퍼,,,,,,,갤럭시노트9 메탈릭코퍼,12,90000,90000.0,90000.0,90000,갤럭시노트9 메탈릭코퍼,갤럭시노트9메탈릭코퍼,갤럭시노트9메탈릭코퍼(0349)
갤럭시,갤럭시,s8,블랙,무,잔상,정상,공기기,폰,갤럭시 s8 블랙 무 잔상 정상 공기기 폰,12,100000,100000.0,100000.0,100000,갤럭시 s8 블랙 무 잔상 정상 공기기 폰,갤럭시 s8블랙 무잔상 정상공기기 폰,갤럭시 S8블랙 무잔상 정상공기기 중고폰
갤럭시,갤럭시,노트8,블루,정상,공기기,폰,,,갤럭시 노트8 블루 정상 공기기 폰,12,105000,105000.0,105000.0,105000,갤럭시 노트8 블루 정상 공기기 폰,갤럭시 노트8블루 정상공기기 폰,갤럭시 노트8블루 정상공기기 중고폰
갤럭시,갤럭시,노트9,코퍼,정상,공기기,폰,,,갤럭시 노트9 코퍼 정상 공기기 폰,12,105000,105000.0,105000.0,105000,갤럭시 노트9 코퍼 정상 공기기 폰,갤럭시 노트9코퍼 정상공기기 폰,갤럭시 노트9코퍼 정상공기기 중고폰
갤럭시,갤럭시,점프,블랙,무,잔상,정상,공기기,폰,갤럭시 점프 블랙 무 잔상 정상 공기기 폰,12,105000,105000.0,105000.0,105000,갤럭시 점프 블랙 무 잔상 정상 공기기 폰,갤럭시 점프 블랙 무잔상 정상공기기 폰,갤럭시 점프 블랙 무잔상 정상공기기 중고폰
갤럭시,갤럭시,퀀텀2,화이트,정상,공기기,폰,,,갤럭시 퀀텀2 화이트 정상 공기기 폰,12,105000,105000.0,105000.0,105000,갤럭시 퀀텀2 화이트 정상 공기기 폰,갤럭시 퀀텀2화이트 정상공기기 폰,갤럭시 퀀텀2화이트 정상공기기 중고폰
갤럭시,갤럭시,a32,화이트,정상,공기기,폰,,,갤럭시 a32 화이트 정상 공기기 폰,12,110000,110000.0,110000.0,110000,갤럭시 a32 화이트 정상 공기기 폰,갤럭시 a32화이트 정상공기기 폰,갤럭시 A32화이트 정상공기기 중고폰
갤럭시,갤럭시,z플립,2,브론즈,무,잔상,정상,공기기,갤럭시 z플립 2 브론즈 무 잔상 정상 공기기,12,110000,110000.0,110000.0,110000,갤럭시 z플립 2 브론즈 무 잔상 정상 공기기 폰,갤럭시 z플립2브론즈 무잔상 정상공기기 폰,갤럭시 Z플립2브론즈 무잔상 정상공기기 중고폰
갤럭시,갤럭시버디3,라이트블루,,,,,,,갤럭시버디3 라이트블루,12,110000,110000.0,110000.0,110000,갤럭시버디3 라이트블루,갤럭시버디3라이트블루,갤럭시버디3라이트블루(7913)
갤럭시,갤럭시,노트,9,코퍼,무,잔상,정상,공기기,갤럭시 노트 9 코퍼 무 잔상 정상 공기기,12,115000,115000.0,115000.0,115000,갤럭시 노트 9 코퍼 무 잔상 정상 공기기 폰,갤럭시 노트9 코퍼 무잔상 정상공기기 폰,갤럭시 노트9 코퍼 무잔상 정상공기기 중고폰
갤럭시,갤럭시,s9,플러스,블루,무,잔상,정상,공기기,갤럭시 s9 플러스 블루 무 잔상 정상 공기기,12,120000,120000.0,120000.0,120000,갤럭시 s9 플러스 블루 무 잔상 정상 공기기 폰,갤럭시 s9플러스 블루 무잔상 정상공기기 폰,갤럭시 S9플러스 블루 무잔상 정상공기기 중고폰
갤럭시,갤럭시,점프3,블랙,무,잔상,정상,공기기,폰,갤럭시 점프3 블랙 무 잔상 정상 공기기 폰,12,120000,120000.0,120000.0,120000,갤럭시 점프3 블랙 무 잔상 정상 공기기 폰,갤럭시 점프3블랙 무잔상 정상공기기 폰,갤럭시 점프3블랙 무잔상 정상공기기 중고폰
갤럭시,갤럭시,a90,5g,블랙,정상,공기기,폰,,갤럭시 a90 5g 블랙 정상 공기기 폰,12,125000,125000.0,125000.0,125000,갤럭시 a90 5g 블랙 정상 공기기 폰,갤럭시 a905g 블랙 정상공기기 폰,갤럭시 A905G 블랙 정상공기기 중고폰
갤럭시,갤럭시,a8,05,골드,무잔상,a급,정상,공기기,갤럭시 a8 05 골드 무잔상 a급 정상 공기기,12,130000,130000.0,130000.0,130000,갤럭시 a8 05 골드 무잔상 a급 정상 공기기 폰,갤럭시 a805골드 무잔상a급 정상공기기 폰,갤럭시 A805골드 무잔상A급 정상공기기 중고폰
갤럭시,갤럭시,엘지,v,50,블랙,무,잔상,a급,갤럭시 엘지 v 50 블랙 무 잔상 a급,12,130000,130000.0,130000.0,130000,갤럭시 엘지 v 50 블랙 무 잔상 a급 정상 공기기 폰,갤럭시 엘지v50블랙 무잔상 a급 정상공기기 폰,갤럭시 엘지V50블랙 무잔상 A급 정상공기기 중고폰
갤럭시,갤럭시,a,52,s,화이트,무,잔상,정상,갤럭시 a 52 s 화이트 무 잔상 정상,12,135000,135000.0,135000.0,135000,갤럭시 a 52 s 화이트 무 잔상 정상 공기기 폰,갤럭시 a52s 화이트 무잔상 정상공기기 폰,갤럭시 A52S 화이트 무잔상 정상공기기 중고폰
갤럭시,갤럭시,s21,바이올렛,무,잔상,정상,공기기,폰,갤럭시 s21 바이올렛 무 잔상 정상 공기기 폰,12,140000,140000.0,143750.0,155000,갤럭시 s21 바이올렛 무 잔상 정상 공기기 폰,갤럭시 s21바이올렛 무잔상 정상공기기 폰,갤럭시 S21바이올렛 무잔상 정상공기기 중고폰
갤럭시,갤럭시,a16,그레이,a급,무,잔상,정상,공기기,갤럭시 a16 그레이 a급 무 잔상 정상 공기기,12,160000,160000.0,160000.0,160000,갤럭시 a16 그레이 a급 무 잔상 정상 공기기 폰,갤럭시 a16그레이 a급 무잔상 정상공기기 폰,갤럭시 A16그레이 A급 무잔상 정상공기기 중고폰
갤럭시,갤럭시,a16,블랙,a급,무,잔상,정상,공기기,갤럭시 a16 블랙 a급 무 잔상 정상 공기기,12,160000,160000.0,160000.0,160000,갤럭시 a16 블랙 a급 무 잔상 정상 공기기 폰,갤럭시 a16블랙 a급 무잔상 정상공기기 폰,갤럭시 A16블랙 A급 무잔상 정상공기기 중고폰
갤럭시,갤럭시,a25,블랙,a급,무,잔상,정상,공기기,갤럭시 a25 블랙 a급 무 잔상 정상 공기기,12,160000,160000.0,160000.0,160000,갤럭시 a25 블랙 a급 무 잔상 정상 공기기 폰,갤럭시 a25블랙 a급 무잔상 정상공기기 폰,갤럭시 A25블랙 A급 무잔상 정상공기기 중고폰
갤럭시,갤럭시,노트20,민트,무,잔상,정상,공기기,폰,갤럭시 노트20 민트 무 잔상 정상 공기기 폰,12,185000,185000.0,185000.0,185000,갤럭시 노트20 민트 무 잔상 정상 공기기 폰,갤럭시 노트20민트 무잔상 정상공기기 폰,갤럭시 노트20민트 무잔상 정상공기기 중고폰
갤럭시,갤럭시,노트20,브론즈,무,잔상,정상,공기기,폰,갤럭시 노트20 브론즈 무 잔상 정상 공기기 폰,12,185000,185000.0,185000.0,185000,갤럭시 노트20 브론즈 무 잔상 정상 공기기 폰,갤럭시 노트20브론즈 무잔상 정상공기기 폰,갤럭시 노트20브론즈 무잔상 정상공기기 중고폰
갤럭시,갤럭시,s21,바이올렛,a급,무,잔상,정상,공기기,갤럭시 s21 바이올렛 a급 무 잔상 정상 공기기,12,195000,195000.0,195000.0,195000,갤럭시 s21 바이올렛 a급 무 잔상 정상 공기기 폰,갤럭시 s21바이올렛 a급 무잔상 정상공기기 폰,갤럭시 S21바이올렛 A급 무잔상 정상공기기 중고폰
갤럭시,갤럭시,s21,블랙,무,잔상,정상,공기기,폰,갤럭시 s21 블랙 무 잔상 정상 공기기 폰,12,195000,195000.0,195000.0,195000,갤럭시 s21 블랙 무 잔상 정상 공기기 폰,갤럭시 s21블랙 무잔상 정상공기기 폰,갤럭시 S21블랙 무잔상 정상공기기 중고폰
갤럭시,갤럭시,s21,플러스,블랙,무,잔상,a급,정상,갤럭시 s21 플러스 블랙 무 잔상 a급 정상,12,230000,230000.0,230000.0,230000,갤럭시 s21 플러스 블랙 무 잔상 a급 정상 공기기 폰,갤럭시 s21플러스 블랙 무잔상 a급 정상공기기 폰,갤럭시 S21플러스 블랙 무잔상 A급 정상공기기 중고폰
갤럭시,갤럭시s24,fe,25,6,,,,,갤럭시s24 fe 25 6,12,403000,412000.0,416166.6666666667,435000,갤럭시s24 fe 25 6,갤럭시s24fe 256,(3294)갤럭시s24fe 256 판매합니다 | 갤럭시s24fe 256 판매합니다 | (342)갤럭시s24fe 256 판매합니다 | (3600)갤럭시s24fe 256 판매합니다
갤럭시,갤럭시s24,플러스,25,6,,,,,갤럭시s24 플러스 25 6,12,379000,466000.0,456750.0,499000,갤럭시s24 플러스 25 6,갤럭시s24플러스 256,갤럭시s24플러스 256 판매 | (3340)갤럭시s24플러스 256 판매 | 갤럭시s24플러스 256 판매합니다 | (3909)갤럭시s24플러스 256 판매합니다 | (4102)갤럭시s24플러스 256 판매합니다
갤럭시,도매,삼성,갤럭시s,7,정상해,지,폰,단말기,도매 삼성 갤럭시s 7 정상해 지 폰 단말기,11,35000,35000.0,35000.0,35000,도매 삼성 갤럭시s 7 정상해 지 폰 단말기,도매 삼성 갤럭시s7 정상해지 폰 단말기,도매 삼성 갤럭시S7 팝니다 정상해지 중고폰 단말기
갤럭시,갤럭시,엘지,x4,20,블랙,무,잔상,정상,갤럭시 엘지 x4 20 블랙 무 잔상 정상,11,45000,45000.0,45000.0,45000,갤럭시 엘지 x4 20 블랙 무 잔상 정상 공기기 폰,갤럭시 엘지x420블랙 무잔상 정상공기기 폰,갤럭시 엘지X420블랙 무잔상 정상공기기 중고폰
갤럭시,갤럭시,j3,30,블루,무,잔상,a급,정상,갤럭시 j3 30 블루 무 잔상 a급 정상,11,50000,50000.0,50000.0,50000,갤럭시 j3 30 블루 무 잔상 a급 정상 공기기 폰,갤럭시 j330블루 무잔상 a급 정상공기기 폰,갤럭시 J330블루 무잔상 A급 정상공기기 중고폰
갤럭시,갤럭시,와이드3,블랙,무,잔상,정상,공기기,폰,갤럭시 와이드3 블랙 무 잔상 정상 공기기 폰,11,50000,50000.0,50000.0,50000,갤럭시 와이드3 블랙 무 잔상 정상 공기기 폰,갤럭시 와이드3블랙 무잔상 정상공기기 폰,갤럭시 와이드3블랙 무잔상 정상공기기 중고폰
갤럭시,갤럭시,엘지,x6,25,그린,a급,무,잔상,갤럭시 엘지 x6 25 그린 a급 무 잔상,11,55000,55000.0,55000.0,55000,갤럭시 엘지 x6 25 그린 a급 무 잔상 정상 공기기 폰,갤럭시 엘지x625그린 a급 무잔상 정상공기기 폰,갤럭시 엘지X625그린 A급 무잔상 정상공기기 중고폰
갤럭시,갤럭시,와이드4,그레이,정상,공기기,폰,,,갤럭시 와이드4 그레이 정상 공기기 폰,11,55000,55000.0,55000.0,55000,갤럭시 와이드4 그레이 정상 공기기 폰,갤럭시 와이드4그레이 정상공기기 폰,갤럭시 와이드4그레이 정상공기기 중고폰
갤럭시,갤럭시,진,블랙,무,잔상,정상,공기기,폰,갤럭시 진 블랙 무 잔상 정상 공기기 폰,11,55000,55000.0,55000.0,55000,갤럭시 진 블랙 무 잔상 정상 공기기 폰,갤럭시 진 블랙 무잔상 정상공기기 폰,갤럭시 진 블랙 무잔상 정상공기기 중고폰
갤럭시,갤럭시,노트,9,메탈,코퍼,정상,공기기,폰,갤럭시 노트 9 메탈 코퍼 정상 공기기 폰,11,95000,95000.0,95000.0,95000,갤럭시 노트 9 메탈 코퍼 정상 공기기 폰,갤럭시 노트9 메탈코퍼 정상공기기 폰,갤럭시 노트9 메탈코퍼 정상공기기 중고폰
갤럭시,갤럭시,a,13,그레이,무,잔상,a급,정상,갤럭시 a 13 그레이 무 잔상 a급 정상,11,105000,105000.0,105000.0,105000,갤럭시 a 13 그레이 무 잔상 a급 정상 공기기 폰,갤럭시 a13그레이 무잔상 a급 정상공기기 폰,갤럭시 A13그레이 무잔상 A급 정상공기기 중고폰
갤럭시,갤럭시,노트8,블루,무,잔상,a급,정상,공기기,갤럭시 노트8 블루 무 잔상 a급 정상 공기기,11,110000,110000.0,110000.0,110000,갤럭시 노트8 블루 무 잔상 a급 정상 공기기 폰,갤럭시 노트8블루 무잔상 a급 정상공기기 폰,갤럭시 노트8블루 무잔상 A급 정상공기기 중고폰
갤럭시,갤럭시,z플립,1,퍼플,무,잔상,정상,공기기,갤럭시 z플립 1 퍼플 무 잔상 정상 공기기,11,120000,120000.0,120000.0,120000,갤럭시 z플립 1 퍼플 무 잔상 정상 공기기 폰,갤럭시 z플립1 퍼플 무잔상 정상공기기 폰,갤럭시 Z플립1 퍼플 무잔상 정상공기기 중고폰
갤럭시,갤럭시,노트9,실버,a급,무,잔상,정상,공기기,갤럭시 노트9 실버 a급 무 잔상 정상 공기기,11,120000,120000.0,120000.0,120000,갤럭시 노트9 실버 a급 무 잔상 정상 공기기 폰,갤럭시 노트9실버 a급 무잔상 정상공기기 폰,갤럭시 노트9실버 A급 무잔상 정상공기기 중고폰
